vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type
2,2015-02-09T20:10:51.000,2015-02-09T20:18:34.000,N,1,-73.829948425292969,40.713737487792969,-73.803627014160156,40.670082092285156,1,3.77,12,0.5,0.5,0,0,0.3,13.3,2,1
2,2015-02-19T18:02:09.000,2015-02-19T18:09:26.000,N,1,-73.976234436035156,40.683803558349609,-73.983650207519531,40.685733795166016,1,0.42,6,1,0.5,1.56,0,0.3,9.36,1,1
2,2015-02-25T08:03:12.000,2015-02-25T08:18:01.000,N,5,-73.858833312988281,40.830886840820313,-73.861671447753906,40.861137390136719,1,3.08,10,0,0,0,0,0,10,2,2
2,2015-01-31T10:08:38.000,2015-01-31T10:21:34.000,N,1,-73.957794189453125,40.816024780273437,-73.963188171386719,40.794307708740234,1,1.92,10.5,0,0.5,2.82,0,0.3,14.12,1,1
2,2015-02-02T08:58:31.000,2015-02-02T09:10:59.000,N,1,-73.942001342773437,40.803859710693359,-73.963661193847656,40.798015594482422,1,1.97,10,0,0.5,0,0,0.3,10.8,2,1
2,2015-01-09T03:02:28.000,2015-01-09T03:09:04.000,N,1,-73.940910339355469,40.839767456054688,-73.941108703613281,40.823909759521484,1,2.11,8.5,0.5,0.5,0,0,0.3,9.8,2,1
2,2015-02-14T06:38:16.000,2015-02-14T06:54:50.000,N,1,-73.953376770019531,40.728199005126953,-73.876594543457031,40.749080657958984,1,5.16,18,0,0.5,0,0,0.3,18.8,2,1
1,2015-02-11T20:43:35.000,2015-02-11T20:58:42.000,N,1,-73.865165710449219,40.744548797607422,-73.886123657226562,40.749347686767578,1,2.5,12,0.5,0.5,0,0,0.3,13.3,2,1
1,2015-02-26T20:43:27.000,2015-02-26T20:55:06.000,N,1,-73.910774230957031,40.677627563476563,-73.908554077148438,40.657215118408203,2,1.6,9,0.5,0.5,1,0,0,11,1,1
2,2015-02-17T13:35:31.000,2015-02-17T13:44:15.000,N,1,-73.939476013183594,40.805061340332031,-73.959304809570313,40.809295654296875,3,1.69,8,0,0.5,0,0,0.3,8.8,2,1
2,2015-02-23T16:07:36.000,2015-02-23T16:19:18.000,N,1,-73.921844482421875,40.767005920410156,-73.872879028320312,40.774261474609375,1,3.48,13,1,0.5,3.7,0,0.3,18.5,1,1
2,2015-01-18T15:25:30.000,2015-01-18T15:39:05.000,N,1,-73.953239440917969,40.742160797119141,-73.961250305175781,40.757549285888672,1,3.16,13,0,0.5,0,0,0.3,13.8,2,1
2,2015-02-05T01:48:25.000,2015-02-05T01:52:27.000,N,1,-73.890823364257813,40.746467590332031,-73.893043518066406,40.756168365478516,1,0.69,5,0.5,0.5,0,0,0.3,6.3,2,1
2,2015-01-28T15:36:49.000,2015-01-28T15:47:17.000,N,1,-73.920753479003906,40.830741882324219,-73.940109252929687,40.813945770263672,1,1.97,9.5,0,0.5,2.06,0,0.3,12.36,1,1
2,2015-02-15T20:40:56.000,2015-02-15T20:48:17.000,N,1,-73.940513610839844,40.822280883789063,-73.957450866699219,40.814781188964844,1,1.54,7.5,0.5,0.5,0,0,0.3,8.8,2,1
1,2015-02-22T20:00:33.000,2015-02-22T20:12:33.000,N,1,-73.86907958984375,40.734397888183594,-73.851959228515625,40.750629425048828,1,2.1,9.5,0.5,0.5,0,0,0.3,10.8,2,1
1,2015-02-04T09:35:42.000,2015-02-04T09:45:01.000,N,1,-73.993034362792969,40.688301086425781,-73.996467590332031,40.696147918701172,1,1.3,7.5,0,0.5,0,0,0.3,8.3,2,1
1,2015-02-05T19:19:23.000,2015-02-05T19:20:36.000,N,1,-73.991470336914063,40.691722869873047,-73.992324829101563,40.690349578857422,1,0.1,3,1,0.5,6,0,0.3,10.8,1,1
2,2015-02-04T21:05:02.000,2015-02-04T21:18:05.000,N,1,-73.968391418457031,40.678997039794922,-73.925552368164063,40.672088623046875,1,2.47,11,0.5,0.5,0,0,0.3,12.3,2,1
2,2015-01-13T17:44:33.000,2015-01-13T17:53:29.000,N,1,-73.930145263671875,40.767120361328125,-73.94110107421875,40.750759124755859,5,1.45,8.5,1,0.5,0,0,0.3,10.3,2,1
1,2015-02-01T21:37:42.000,2015-02-01T21:56:20.000,N,1,-73.958755493164063,40.716651916503906,-73.909919738769531,40.694667816162109,1,3.4,15,0.5,0.5,3.25,0,0.3,19.55,1,1
1,2015-02-07T21:46:19.000,2015-02-07T21:51:57.000,N,1,-73.979560852050781,40.689811706542969,-73.964988708496094,40.688335418701172,1,1,5.5,0.5,0.5,1.35,0,0.3,8.15,1,1
